procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0 991736 167276  62008 1513132   0    0   281    65    0 1634  9  8 83  0
 0  0 991736 170252  62008 1513136   0    0     0    64    0 1407  3  1 96  0
 0  0 991724 170268  62008 1513136   0    0     0     0    0 1121  1  1 99  0
 2  0 991724 169492  62008 1513136   0    0     0     0    0 1216  1  1 99  0
 0  0 991716 169260  62008 1513136   0    0     0     0    0 3730 13  6 82  0
 0  0 991716 169136  62008 1513136   0    0     0     0    0 1295  0  1 98  0
 2  0 991716 168268  62016 1513136   0    0     0   148    1 2678  5  4 91  0
 1  0 991716 165260  62016 1513136   0    0     0     0    0 1418  5  3 92  0
 0  0 991716 168020  62016 1513136   0    0     0     0    0 3945 12  6 82  0
 1  0 991716 168020  62016 1513136   0    0     0     0    0 1295  1  1 98  0
 0  0 991716 168020  62016 1513136   0    0     0     0    0 1206  1  1 98  0
 4  0 991708 162468  62024 1513136   0    0     0    32    0 2584 12  6 83  0
 1  0 991708 167788  62024 1513136   0    0     0     0    0 2587  5  3 92  0
 0  0 991708 167060  62024 1513136   0    0     0     0    0 2727  6  3 90  0
 0  0 991708 167184  62032 1513136   0    0     0    28    0 1286  1  1 98  0
 0  0 991700 167276  62032 1513136   0    0     0     0    0 4065 15 10 74  0
 0  0 991700 167308  62040 1513136   0    0     0    32    0 1436  0  1 99  0
 0  0 991688 167308  62040 1513136   0    0     0     0    0 1250  1  1 98  0
